"Count Taxonomy"	"Order"	"Suborder"	"Infraorder"	"Parvorder"	"Superfamily"	"Family"	"Subfamily"	"Species group"	"Species"	"Subspecies"	"Data quality (ok if ≥ 4 individuals, at least 2m and 2f in anthropoids)"	"Calculation of ECV species mean"	"Source of ECV"	"Source of body mass"	"ECV male mean"	"ECV female mean"	"ECV species mean"	"N male"	"N female"	"N species"	"Body mass male mean"	"Body mass female mean"	"Body mass species mean"	"N body mass male"	"N body mass female"	"N body mass species"
275	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Pongidae"			"Pongo pygmaeus"	"morio"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	384.09	330.13	357.11	2	4	6	69561	37497	53529	2	3	5
276	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Pongidae"			"Pongo pygmaeus"	"pygmaeus"	"subspecies"	"m/f"	"This study"		432.20	368.00	400.10	5	2	7						
277	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Hominoidea"	"Pongidae"			"Pongo pygmaeus"	"wurmbii"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	422.31	334.74	378.52	20	23	43	86184	36742	61463	4	8	12
278	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"	"Saguinus nigricollis group"	"Saguinus fuscicollis"	"fuscus"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	7.87	8.25	8.06	6	6	12	441	434	438	6	6	12
279	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Callitrichinae"	"Saguinus nigricollis group"	"Saguinus fuscicollis"	"illigeri"	"subspecies"	"m/f"	"This study"	"Soini 1990"	7.92	8.03	7.98	5	4	9	292	296	294	9	4	13
280	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Cebinae"	"Cebus apella group"	"Cebus nigritus"	"nigritus"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	71.44	65.03	68.23	27	24	51	3158	2205	2681	27	24	51
281	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Cebinae"	"Cebus apella group"	"Cebus nigritus"	"robustus"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	68.18	63.09	65.63	13	19	32	3481	2274	2877	13	19	32
282	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Cebinae"	"Cebus capucinus group"	"Cebus albifrons"	"unicolor"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	72.66	79.33	76.00	6	3	9	3060			2	0	
283	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Cebinae"	"Cebus capucinus group"	"Cebus albifrons"	"versicolor"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	64.20	57.63	60.92	10	10	20	2786	1944	2365	7	7	14
284	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Saimiriinae"	"Saimiri sciureus group"	"Saimiri sciureus"	"cassiquiarensis"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	23.96	22.69	23.33	8	5	13	900	776	838	8	5	13
285	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Saimiriinae"	"Saimiri sciureus group"	"Saimiri sciureus"	"macrodon"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	24.74	23.67	24.21	24	21	45	854	794	824	24	21	45
286	"Primates"	"Haplorrhini"	"Simiiformes"	"Platyrrhini"		"Cebidae"	"Saimiriinae"	"Saimiri sciureus group"	"Saimiri sciureus"	"sciureus"	"subspecies"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	23.76	25.21	24.48	16	12	28	811	658	735	12	6	18
287	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"			"Otolemur garnettii"	"garnettii"	"subspecies"	"ind"	"This study"		10.94	9.50	10.40	5	3	8						
288	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"			"Otolemur garnettii"	"lasiotis"	"subspecies"	"ind"	"This study"		10.00	9.47	9.83	4	2	6						
289	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Galagidae"			"Otolemur garnettii"	"panganiensis"	"subspecies"	"ind"	"This study"	"This study, same specimens as ECV measurements"	12.80	11.26	12.58	6	1	7	1196	1142	1169	6	1	7
290	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Lorisidae"			"Nycticebus coucang"	"coucang"	"subspecies"	"ind"	"This study"	"Smith and Jungers 1997"	11.03	10.04	10.38	5	9	17	679	626	653	56	44	100
291	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Lorisidae"			"Nycticebus coucang"	"menagensis"	"subspecies"	"ind"	"This study"	"This study, same specimens as ECV measurements"	11.05	8.88	9.67	4	7	11	750	519	634	3	5	8
292	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Lorisidae"			"Perodicticus potto"	"edwardsi"	"subspecies"	"ind"	"This study"	"Smith and Jungers 1997"	13.37	13.48	13.43	7	7	14	1250	1210	1230	5	5	10
293	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Lorisidae"			"Perodicticus potto"	"ibeanus"	"subspecies"	"ind"	"This study"	"This study, same specimens as ECV measurements"	14.08		13.62	6	0	9	1050			1	0	
294	"Primates"	"Strepsirrhini"	"Lorisiformes"			"Lorisidae"			"Perodicticus potto"	"potto"	"subspecies"	"ind"	"This study"	"This study, same specimens as ECV measurements"	12.39	11.40	11.93	24	21	45	781	844	813	12	15	27
