Species	Body_weight	Brain_weight_g	Neonate_brain_weight_g	Neocortex_mm^3	GI	Ventricle_mm^3	Maximum_lifespan_yrs	Age_at_first_breeding_F_mnths	Age_at_first_breeding_days	Female_sexual_maturity_days	Male_sexual_maturity_days	Gestation_days	Litter_size	Litters_per_year	Inter-litter_interval_days	Weaning_period_days	Weight_at_birth_g	Weight_at_weaning_g	Juvenility_primates_years	Juvenility_days	Max_home_range_ha	% Fruit and seeds	Activity_timing	Diet_breadth	Trophic_level	Population_group_size	Social_group_size	Adult_head_body_length_mm	Age_at_eye_opening_days	Altricial_precocial	Basal_metaboic_rate	Dispersal_age_days	Habitat_breadth	Social_system	Glia_neuron_ratio	Neuronal_denisty	Glial_cell_denisty	Neurogenic_period_days	Phylo_rank
Lemur_catta	2264,25	23,05	8,77	NA	1,32	NA	30,00	29,72	903,98	595	912	135	1,13	0,90	434	140	63,52	1080,00	1,35	764,32	35,00	54,00	2	4	2	15,00	16,45	425,00	1,00	2	651,40	NA	2	NA	0,85	70795,00	60256,00	NA	47
Varecia_variegata	3344,86	49,82	10,59	15293,00	1,32	299,00	13,00	23,30	708,71	604	608	120	2,10	1,00	365	109	88,20	2696,50	NA	599,46	25,80	73,90	2	4	1	3,50	2,80	547,35	NA	2	603,60	NA	2	3	NA	NA	NA	NA	48
Lepilemur_ruficaudatus	821,89	7,50	NA	3282,00	1,14	76,50	NA	19,50	593,12	595	NA	163	1,00	1,00	365	121	27,00	250,00	NA	472,12	NA	NA	1	2	1	NA	1,00	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	49
Perodicticus_potto	1008,43	13,54	NA	6683,00	1,26	127,00	26,00	24,55	746,73	547	547	186	1,00	1,00	304	142	40,55	NA	1,09	604,48	12,00	65,00	1	4	2	NA	1,00	320,00	NA	2	347,82	NA	1	1	NA	NA	NA	NA	50
Loris_tardigradus	281,44	6,63	2,69	3524,00	1,28	51,60	16,40	18,00	547,50	380	365	166	1,45	1,50	234	160	11,18	139,00	0,58	387,50	1,00	15,00	1	4	2	NA	1,00	224,49	NA	2	147,50	NA	1	4	NA	NA	NA	NA	51
Nycticebus_coucang	828,19	11,73	4,00	6,19	1,20	142,00	26,50	25,30	769,54	578	NA	192	1,00	1,00	428	157	46,16	520,00	1,09	612,29	5,00	60,00	1	6	2	NA	1,00	300,00	NA	2	240,00	NA	1	1	0,49	109648,00	53703,00	NA	52
Galago_senegalensis	178,70	4,80	2,30	2139,00	1,17	40,20	17,00	11,40	346,75	240	300	131	1,55	2,00	242	87	15,55	125,00	0,74	259,42	11,00	0,00	1	3	2	NA	3,50	160,00	NA	2	180,22	NA	NA	4	0,45	338844,00	151356,00	NA	53
Otolemur_crassicaudatus	952,43	10,60	4,00	4723,00	1,26	147,00	15,66	23,00	699,58	430	639	134	1,53	1,00	281	121	43,96	500,00	1,47	578,58	10,00	27,00	1	5	2	NA	3,50	307,00	NA	2	457,15	NA	NA	1	NA	NA	NA	NA	54
Galago_demidoff	71,50	3,34	1,20	1568,00	1,21	30,40	14,00	21,40	650,92	240	274	110	1,60	1,50	330	45	8,47	NA	NA	605,92	1,00	NA	1	4	2	NA	5,50	120,00	NA	2	59,40	NA	NA	4	NA	NA	NA	NA	55
Cynocephalus_volans*	1300,00	6,20	NA	NA	1,34	NA	NA	NA	NA	NA	NA	105	1,00	NA	NA	193	38,50	NA	NA	NA	0,07	NA	2	4	1	NA	NA	379,43	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	56
